id_image,id_penginapan,url_image
180,180,https://storage.googleapis.com/tenan-bucket/hotel_images/favehotel%20Olo%20Padang.jpg
181,181,https://storage.googleapis.com/tenan-bucket/hotel_images/Deivan%20Hotel.jpg
182,182,https://storage.googleapis.com/tenan-bucket/hotel_images/Imelda%20Hotel%20-%20Water%20Park%20-%20Convention.jpg
183,183,https://storage.googleapis.com/tenan-bucket/hotel_images/Nagari%20Koto%20Gadang.jpg
184,184,https://storage.googleapis.com/tenan-bucket/hotel_images/New%20d%27Dhave%20Hotel.jpg
185,185,https://storage.googleapis.com/tenan-bucket/hotel_images/OYO%203305%20Bumi%20Siliwangi%20Residence.jpg
186,186,https://storage.googleapis.com/tenan-bucket/hotel_images/Fazarel%20Residence%20Syariah.jpg
187,187,https://storage.googleapis.com/tenan-bucket/hotel_images/d%27Dhave%20hotel.jpg
188,188,https://storage.googleapis.com/tenan-bucket/hotel_images/TANAHOTEL%20PADANG.jpg
189,189,https://storage.googleapis.com/tenan-bucket/hotel_images/Kinol%20Homestay.jpg
190,190,https://storage.googleapis.com/tenan-bucket/hotel_images/OYO%201673%20M%20Authentic%20Kost%20Man.jpg
191,191,https://storage.googleapis.com/tenan-bucket/hotel_images/OYO%2091675%20Utama%20Residence.jpg
192,192,https://storage.googleapis.com/tenan-bucket/hotel_images/Kelapa%20Gading%20Guesthouse%20II.jpg
193,193,https://storage.googleapis.com/tenan-bucket/hotel_images/Jesnic%20Hotel.jpg
194,194,https://storage.googleapis.com/tenan-bucket/hotel_images/TEE%20HOTEL.jpg
195,195,https://storage.googleapis.com/tenan-bucket/hotel_images/Wisma%20Ayank.jpg
196,196,https://storage.googleapis.com/tenan-bucket/hotel_images/Wisma%20Tatar%20Pasundan.jpg
197,197,https://storage.googleapis.com/tenan-bucket/hotel_images/HOTEL%20RUMAH%20RB.jpg
198,198,https://storage.googleapis.com/tenan-bucket/hotel_images/Hotel%20Bintang%20Padang.jpg
199,199,https://storage.googleapis.com/tenan-bucket/hotel_images/Lestari%20Guesthouse.jpg
200,200,https://storage.googleapis.com/tenan-bucket/hotel_images/Wisma%20Rumah%20KIta.jpg
201,201,https://storage.googleapis.com/tenan-bucket/hotel_images/Rumah%20Tamu%20Agung.jpg
202,202,https://storage.googleapis.com/tenan-bucket/hotel_images/Wyndham%20Opi%20Hotel%20Palembang.jpg
203,203,https://storage.googleapis.com/tenan-bucket/hotel_images/Beston%20Hotel%20Palembang%20%28FKA%20Horison%20Ultima%20Palembang%29.jpg
204,204,https://storage.googleapis.com/tenan-bucket/hotel_images/The%20Alts%20Hotel.jpg
205,205,https://storage.googleapis.com/tenan-bucket/hotel_images/ASTON%20Palembang%20Hotel%20%26%20Conference%20Center.jpg
206,206,https://storage.googleapis.com/tenan-bucket/hotel_images/All%20Nite%20%26%20Day%20Palembang%20-%20Veteran.jpg
207,207,https://storage.googleapis.com/tenan-bucket/hotel_images/MaxOneHotels.com%20%40%20Vivo%20Palembang.jpg
208,208,https://storage.googleapis.com/tenan-bucket/hotel_images/The%20Zuri%20Palembang.jpg
209,209,https://storage.googleapis.com/tenan-bucket/hotel_images/Rio%20City%20Hotel.jpg
210,210,https://storage.googleapis.com/tenan-bucket/hotel_images/BATIQA%20Hotel%20Palembang.jpg
211,211,https://storage.googleapis.com/tenan-bucket/hotel_images/favehotel%20Palembang.jpg
212,212,https://storage.googleapis.com/tenan-bucket/hotel_images/Harper%20Palembang%20by%20ASTON.jpg
213,213,https://storage.googleapis.com/tenan-bucket/hotel_images/Hotel%20Santika%20Radial%20Palembang.jpg
214,214,https://storage.googleapis.com/tenan-bucket/hotel_images/The%20Excelton%20Hotel.jpg
215,215,https://storage.googleapis.com/tenan-bucket/hotel_images/Algoritma%20Hotel%20Palembang.jpg
216,216,https://storage.googleapis.com/tenan-bucket/hotel_images/The%201O1%20Palembang%20Rajawali.jpg
217,217,https://storage.googleapis.com/tenan-bucket/hotel_images/Ayola%20Sentosa%20Palembang.jpg
218,218,https://storage.googleapis.com/tenan-bucket/hotel_images/Emilia%20Hotel%20By%20Amazing%20-%20Palembang.jpg
219,219,https://storage.googleapis.com/tenan-bucket/hotel_images/Luminor%20Hotel%20Palembang.jpg
220,220,https://storage.googleapis.com/tenan-bucket/hotel_images/Opa%20Hotel%20Palembang.jpg
221,221,https://storage.googleapis.com/tenan-bucket/hotel_images/Rid%27s%20Hotel%20Palembang.jpg
222,222,https://storage.googleapis.com/tenan-bucket/hotel_images/Cordela%20Inn%20R.%20Sukamto%20Palembang.jpg
223,223,https://storage.googleapis.com/tenan-bucket/hotel_images/Sintesa%20Peninsula%20Hotel%20Palembang.jpg
224,224,https://storage.googleapis.com/tenan-bucket/hotel_images/Hotel%20Harvani.jpg
225,225,https://storage.googleapis.com/tenan-bucket/hotel_images/Barong%20Hotel.jpg
226,226,https://storage.googleapis.com/tenan-bucket/hotel_images/OYO%20142%20Hotel%20Al%20Furqon%20Syariah.jpg
227,227,https://storage.googleapis.com/tenan-bucket/hotel_images/The%20Emerald%20Inn.jpg
228,228,https://storage.googleapis.com/tenan-bucket/hotel_images/Denata%20B%26B.jpg
229,229,https://storage.googleapis.com/tenan-bucket/hotel_images/Cemerlang%20Inn.jpg
230,230,https://storage.googleapis.com/tenan-bucket/hotel_images/Alpha%20Family%20Kostel.jpg
231,231,https://storage.googleapis.com/tenan-bucket/hotel_images/Homestay%2082%20Syariah%20Palembang.jpg
232,232,https://storage.googleapis.com/tenan-bucket/hotel_images/U_xpress%20Hotel.jpg
233,233,https://storage.googleapis.com/tenan-bucket/hotel_images/Hotel%20Alam%20Sutra.jpg
234,234,https://storage.googleapis.com/tenan-bucket/hotel_images/OYO%203431%20Alpha%20Hotel%20Syariah.jpg
235,235,https://storage.googleapis.com/tenan-bucket/hotel_images/Circle%20One.jpg
236,236,https://storage.googleapis.com/tenan-bucket/hotel_images/Desilva%20Bandara.jpg
237,237,https://storage.googleapis.com/tenan-bucket/hotel_images/OYO%201389%20Hotel%20Carissima.jpg
238,238,https://storage.googleapis.com/tenan-bucket/hotel_images/OYO%2090226%20Penginapan%20Sederhana%20Syariah.jpg
239,239,https://storage.googleapis.com/tenan-bucket/hotel_images/roriz%20house%20palembang.jpg
240,240,https://storage.googleapis.com/tenan-bucket/hotel_images/Wisma%20Cendana%20Syariah.jpg
241,241,https://storage.googleapis.com/tenan-bucket/hotel_images/Collection%20O%2090428%20Remington%20Hotel.jpg
242,242,https://storage.googleapis.com/tenan-bucket/hotel_images/D%27Paragon%20Dwikora.jpg
243,243,https://storage.googleapis.com/tenan-bucket/hotel_images/OYO%201868%20Penginapan%20Sekip.jpg
244,244,https://storage.googleapis.com/tenan-bucket/hotel_images/OYO%202177%20Trikora%20Indah%20Residence%20Palembang.jpg
245,245,https://storage.googleapis.com/tenan-bucket/hotel_images/OYO%2091680%20Hotel%20Mentari.jpg
246,246,https://storage.googleapis.com/tenan-bucket/hotel_images/Hotel%20Grand%20Putri%20Sriwijaya%20Syariah.jpg
247,247,https://storage.googleapis.com/tenan-bucket/hotel_images/D%27Paragon%20Trikora.jpg
248,248,https://storage.googleapis.com/tenan-bucket/hotel_images/OYO%2090412%20My%20Kost.jpg
249,249,https://storage.googleapis.com/tenan-bucket/hotel_images/Green%20Guesthouse.jpg
250,250,https://storage.googleapis.com/tenan-bucket/hotel_images/OYO%2091160%20Wisma%20Srijaya%20Syariah.jpg
251,251,https://storage.googleapis.com/tenan-bucket/hotel_images/OYO%2091805%20Hotel%20Wisma%20Bari.jpg
252,252,https://storage.googleapis.com/tenan-bucket/hotel_images/Lorin%20Sentul%20Hotel.jpg
253,253,https://storage.googleapis.com/tenan-bucket/hotel_images/ASTON%20Sentul%20Lake%20Resort%20%26%20Conference%20Center.jpg
254,254,https://storage.googleapis.com/tenan-bucket/hotel_images/Grand%20Savero%20Hotel%20Bogor.jpg
255,255,https://storage.googleapis.com/tenan-bucket/hotel_images/Horison%20Ultima%20Bhuvana%20Ciawi.jpg
256,256,https://storage.googleapis.com/tenan-bucket/hotel_images/ibis%20Styles%20Bogor%20Raya.jpg
257,257,https://storage.googleapis.com/tenan-bucket/hotel_images/Novotel%20Bogor%20Golf%20Resort%20%26%20Convention%20Center.jpg
