id_image,id_wisata,url_image
195,195,https://storage.googleapis.com/tenan-bucket/images/Pantai%20Jogan.jpg
196,196,https://storage.googleapis.com/tenan-bucket/images/Pantai%20Ngrenehan.jpg
197,197,https://storage.googleapis.com/tenan-bucket/images/Pantai%20Jungwok.jpg
198,198,https://storage.googleapis.com/tenan-bucket/images/Pantai%20Greweng.jpg
199,199,https://storage.googleapis.com/tenan-bucket/images/Pantai%20Sedahan.jpg
200,200,https://storage.googleapis.com/tenan-bucket/images/Pantai%20Watu%20Kodok.jpg
201,201,https://storage.googleapis.com/tenan-bucket/images/Pantai%20Kesirat.jpg
202,202,https://storage.googleapis.com/tenan-bucket/images/Pantai%20Ngandong.jpg
203,203,https://storage.googleapis.com/tenan-bucket/images/Galaxy%20Waterpark%20Jogja.jpg
204,204,https://storage.googleapis.com/tenan-bucket/images/Desa%20Wisata%20Pulesari.jpg
205,205,https://storage.googleapis.com/tenan-bucket/images/Desa%20Wisata%20Tembi.jpg
206,206,https://storage.googleapis.com/tenan-bucket/images/Wisata%20Kaliurang.jpg
207,207,https://storage.googleapis.com/tenan-bucket/images/Heha%20Sky%20View.jpg
208,208,https://storage.googleapis.com/tenan-bucket/images/Taman%20Sungai%20Mudal.jpg
209,209,https://storage.googleapis.com/tenan-bucket/images/Pantai%20Sanglen.jpg
210,210,https://storage.googleapis.com/tenan-bucket/images/Pantai%20Congot.jpg
211,211,https://storage.googleapis.com/tenan-bucket/images/GunungTangkuban%20perahu.jpg
212,212,https://storage.googleapis.com/tenan-bucket/images/Jalan%20Braga.jpg
213,213,https://storage.googleapis.com/tenan-bucket/images/Gedung%20Sate.jpg
214,214,https://storage.googleapis.com/tenan-bucket/images/Trans%20Studio%20Bandung.jpg
215,215,https://storage.googleapis.com/tenan-bucket/images/Taman%20Hutan%20Raya%20Ir.%20H.%20Djuanda.jpg
216,216,https://storage.googleapis.com/tenan-bucket/images/Farm%20House%20Susu%20Lembang.jpg
217,217,https://storage.googleapis.com/tenan-bucket/images/Kebun%20Binatang%20Bandung.jpg
218,218,https://storage.googleapis.com/tenan-bucket/images/Kawah%20Putih.jpg
219,219,https://storage.googleapis.com/tenan-bucket/images/Tebing%20Karaton.jpg
220,220,https://storage.googleapis.com/tenan-bucket/images/Dusun%20Bambu.jpg
221,221,https://storage.googleapis.com/tenan-bucket/images/Museum%20Geologi%20Bandung.jpg
222,222,https://storage.googleapis.com/tenan-bucket/images/Museum%20Konferensi%20Asia%20Afrika.jpg
